headgroup	name	exactmass	formula	chain_type
M(IP)2C	M(IP)2C 49:1;O2	1393.837985	C67H129NO24P2	odd
M(IP)2C	M(IP)2C 49:1;O3	1409.8329	C67H129NO25P2	odd
M(IP)2C	M(IP)2C 49:1;O4	1425.827815	C67H129NO26P2	odd
M(IP)2C	M(IP)2C 49:1;O5	1441.82273	C67H129NO27P2	odd
M(IP)2C	M(IP)2C 49:1;O6	1457.817645	C67H129NO28P2	odd
M(IP)2C	M(IP)2C 49:2;O2	1391.822335	C67H127NO24P2	odd
M(IP)2C	M(IP)2C 49:2;O3	1407.81725	C67H127NO25P2	odd
M(IP)2C	M(IP)2C 49:2;O4	1423.812165	C67H127NO26P2	odd
M(IP)2C	M(IP)2C 49:2;O5	1439.80708	C67H127NO27P2	odd
M(IP)2C	M(IP)2C 49:2;O6	1455.801995	C67H127NO28P2	odd
M(IP)2C	M(IP)2C 49:3;O2	1389.806685	C67H125NO24P2	odd
M(IP)2C	M(IP)2C 49:3;O3	1405.8016	C67H125NO25P2	odd
M(IP)2C	M(IP)2C 49:3;O4	1421.796515	C67H125NO26P2	odd
M(IP)2C	M(IP)2C 49:3;O5	1437.79143	C67H125NO27P2	odd
M(IP)2C	M(IP)2C 49:3;O6	1453.786345	C67H125NO28P2	odd
M(IP)2C	M(IP)2C 49:4;O2	1387.791035	C67H123NO24P2	odd
M(IP)2C	M(IP)2C 49:4;O3	1403.78595	C67H123NO25P2	odd
M(IP)2C	M(IP)2C 49:4;O4	1419.780865	C67H123NO26P2	odd
M(IP)2C	M(IP)2C 49:4;O5	1435.77578	C67H123NO27P2	odd
M(IP)2C	M(IP)2C 49:4;O6	1451.770695	C67H123NO28P2	odd
M(IP)2C	M(IP)2C 49:5;O2	1385.775385	C67H121NO24P2	odd
M(IP)2C	M(IP)2C 49:5;O3	1401.7703	C67H121NO25P2	odd
M(IP)2C	M(IP)2C 49:5;O4	1417.765215	C67H121NO26P2	odd
M(IP)2C	M(IP)2C 49:5;O5	1433.76013	C67H121NO27P2	odd
M(IP)2C	M(IP)2C 49:5;O6	1449.755045	C67H121NO28P2	odd
M(IP)2C	M(IP)2C 49:6;O2	1383.759735	C67H119NO24P2	odd
M(IP)2C	M(IP)2C 49:6;O3	1399.75465	C67H119NO25P2	odd
M(IP)2C	M(IP)2C 49:6;O4	1415.749565	C67H119NO26P2	odd
M(IP)2C	M(IP)2C 49:6;O5	1431.74448	C67H119NO27P2	odd
M(IP)2C	M(IP)2C 49:6;O6	1447.739395	C67H119NO28P2	odd
M(IP)2C	M(IP)2C 50:0;O2	1409.869285	C68H133NO24P2	even
ST	ST 25:1;O4;G	463.329774	C27H45NO5	odd
M(IP)2C	M(IP)2C 50:0;O3	1425.8642	C68H133NO25P2	even
M(IP)2C	M(IP)2C 50:0;O4	1441.859115	C68H133NO26P2	even
M(IP)2C	M(IP)2C 50:0;O5	1457.85403	C68H133NO27P2	even
M(IP)2C	M(IP)2C 50:0;O6	1473.848945	C68H133NO28P2	even
M(IP)2C	M(IP)2C 50:1;O2	1407.853635	C68H131NO24P2	even
M(IP)2C	M(IP)2C 50:1;O3	1423.84855	C68H131NO25P2	even
M(IP)2C	M(IP)2C 50:1;O4	1439.843465	C68H131NO26P2	even
M(IP)2C	M(IP)2C 50:1;O5	1455.83838	C68H131NO27P2	even
M(IP)2C	M(IP)2C 50:1;O6	1471.833295	C68H131NO28P2	even
M(IP)2C	M(IP)2C 50:2;O2	1405.837985	C68H129NO24P2	even
M(IP)2C	M(IP)2C 50:2;O3	1421.8329	C68H129NO25P2	even
M(IP)2C	M(IP)2C 50:2;O4	1437.827815	C68H129NO26P2	even
M(IP)2C	M(IP)2C 50:2;O5	1453.82273	C68H129NO27P2	even
M(IP)2C	M(IP)2C 50:2;O6	1469.817645	C68H129NO28P2	even
M(IP)2C	M(IP)2C 50:3;O2	1403.822335	C68H127NO24P2	even
M(IP)2C	M(IP)2C 50:3;O3	1419.81725	C68H127NO25P2	even
M(IP)2C	M(IP)2C 50:3;O4	1435.812165	C68H127NO26P2	even
M(IP)2C	M(IP)2C 50:3;O5	1451.80708	C68H127NO27P2	even
M(IP)2C	M(IP)2C 50:3;O6	1467.801995	C68H127NO28P2	even
M(IP)2C	M(IP)2C 50:4;O2	1401.806685	C68H125NO24P2	even
M(IP)2C	M(IP)2C 50:4;O3	1417.8016	C68H125NO25P2	even
M(IP)2C	M(IP)2C 50:4;O4	1433.796515	C68H125NO26P2	even
M(IP)2C	M(IP)2C 50:4;O5	1449.79143	C68H125NO27P2	even
M(IP)2C	M(IP)2C 50:4;O6	1465.786345	C68H125NO28P2	even
M(IP)2C	M(IP)2C 50:5;O2	1399.791035	C68H123NO24P2	even
M(IP)2C	M(IP)2C 50:5;O3	1415.78595	C68H123NO25P2	even
M(IP)2C	M(IP)2C 50:5;O4	1431.780865	C68H123NO26P2	even
M(IP)2C	M(IP)2C 50:5;O5	1447.77578	C68H123NO27P2	even
M(IP)2C	M(IP)2C 50:5;O6	1463.770695	C68H123NO28P2	even
M(IP)2C	M(IP)2C 50:6;O2	1397.775385	C68H121NO24P2	even
M(IP)2C	M(IP)2C 50:6;O3	1413.7703	C68H121NO25P2	even
M(IP)2C	M(IP)2C 50:6;O4	1429.765215	C68H121NO26P2	even
M(IP)2C	M(IP)2C 50:6;O5	1445.76013	C68H121NO27P2	even
M(IP)2C	M(IP)2C 50:6;O6	1461.755045	C68H121NO28P2	even
M(IP)2C	M(IP)2C 51:0;O2	1423.884935	C69H135NO24P2	odd
M(IP)2C	M(IP)2C 51:0;O3	1439.87985	C69H135NO25P2	odd
M(IP)2C	M(IP)2C 51:0;O4	1455.874765	C69H135NO26P2	odd
M(IP)2C	M(IP)2C 51:0;O5	1471.86968	C69H135NO27P2	odd
M(IP)2C	M(IP)2C 51:0;O6	1487.864595	C69H135NO28P2	odd
M(IP)2C	M(IP)2C 51:1;O2	1421.869285	C69H133NO24P2	odd
M(IP)2C	M(IP)2C 51:1;O3	1437.8642	C69H133NO25P2	odd
M(IP)2C	M(IP)2C 51:1;O4	1453.859115	C69H133NO26P2	odd
M(IP)2C	M(IP)2C 51:1;O5	1469.85403	C69H133NO27P2	odd
M(IP)2C	M(IP)2C 51:1;O6	1485.848945	C69H133NO28P2	odd
